publisher,city
37 ink atria,New York City
abrams,New York City
ace,New York City
alfred a knopf,New York City
algonquin,Chapel Hill
all points,New York City
all points st martin s,New York City
allantine,New York City
amistad,New York City
amy einhorn putnam,New York City
anthony bourdain ecco,New York City
archipelago,New York City
atlantic 23,Washington
atlantic monthly,Washington
atlantic monthly press,Washington
atria,New York City
atria emily bestler,New York City
atria emily bestler books,New York City
atria keywords,New York City
avery,New York City
avid reader,Burlington
baen,Wake Forest
ballantine,New York City
ballantine espn,New York City
bantam,New York City
basic,New York City
basic books,New York City
beaufort books,New York City
belknap,Cambridge
belknap harvard university,Cambridge
benbella,Dallas
berkeley prime crime,Dallas
berkley,New York City
berkley caliber,New York City
berkley sensation,New York City
black dog leventhal,New York City
bloomsbury,London
blue heeler books,New York City
blue rider,New York City
broadside,New York City
broadside books,New York City
broadside harpercollins,New York City
broadway,New York City
callaway,New York City
celadon,New York City
celebra,New York City
cemetery dance,Forest Hill
center street,New York City
chronicle prism,San Francisco
clarkson potter,New York City
collins,New York City
collins design harpercollins,New York City
convergent,Colorado Springs
counterpoint,San Francisco
crown,New York City
crown archetype,New York City
crown business,New York City
crown forum,New York City
currency,Redfern
current,Falmouth
custom house,New York City
dangerous books,NA
daw,New York City
del rey,New York City
del rey ballantine,New York City
del rey ballantine lucas,New York City
del rey ballantine lucasbooks,New York City
delacorte,New York City
delacorte press,New York City
dey st,New York City
dey st morrow,New York City
dey street,New York City
dey street morrow,New York City
dial,New York City
doherty,New York City
doherty forge,New York City
double day,New York City
doubleday,New York City
dutton,Boston
eamon dolan houghton mifflin harcourt,New York City
ecco,New York City
ecco harpercollins,New York City
ecco harpercollins publishers,New York City
el léon literary arts atlantic monthly,NA
emily bestler atria,NA
encounter,New York City
eos harpercollins,Seattle
eos william morrow,Seattle
epicenter,Seattle
faithwords,Brentwood
farrar straus giroux,New York City
feiwel friends,New York City
flatiron,New York City
flatiron books,New York City
forefront,Brentwood
forge,New York City
forge tom doherty,New York City
free press,New York City
front line,Barnsley
frontline,Barnsley
gallery,New York City
gallery books,New York City
gallery karen hunter,New York City
gallery scout,New York City
gallery vh1,New York City
gotham,New York City
grand central,New York City
grand central melcher media,New York City
greenleaf,Austin
grove,New York City
hachette,New York City
hachette books,New York City
hanover square,London
harlequin mira,Toronto
harmony,New York City
harper,New York City
harper business,New York City
harper business harpercollins,New York City
harper design,New York City
harper harpercollins,New York City
harper harpercollins publishers,New York City
harper perennial,New York City
harper voyager,New York City
harper voyager harpercollins,New York City
harper voyager harpercollins publishers,New York City
harpercollins,New York City
harpercollins voyager,New York City
harperone,New York City
harperone harpercollins,New York City
harpervoyager,New York City
hay house,Carlsbad
henry holt,New York City
hogarth,London
hogarth shakespeare,London
holt,New York City
hot books,New York City
houghton mifflin,Boston
houghton mifflin harcourt,Boston
howard,Brentwood
howard books,Brentwood
hqn,Toronto
humanix,Boca Raton
hyperion,Glendale
ignatius press,San Francisco
it books,New York City
it books harpercollins,New York City
james h silberman viking,New York City
jeter publishing gallery books,New York City
jim collins harpercollins,New York City
john macrae holt,New York City
jossey bass,San Francisco
kensington,New York City
kingswell,Glendale
knopf,New York City
knopf mcsweeney s,New York City
little brown,Boston
little brown and knopf,Boston
little brown company,Boston
little brown spark,Boston
liveright,New York City
lucasbooks,Glendale
macrae holt,New York City
marian wood putnam,New York City
marion wood putnam,New York City
mcd farrar straus giroux,New York City
mcgraw hill education,New York City
mcsweeney s,San Francisco
melcher mcd farrar straus giroux,New York City
melville house,New York City
mercury radio arts threshold editions,New York City
metropolitan holt,New York City
minotaur,New York City
mira,Toronto
miramax,New York City
miramax 22 95,New York City
morrow,New York City
morrow harpercollins,New York City
morrow harpercollins publishers,New York City
mulholland little brown,Boston
mullholland books little brown,Boston
multnomah,Colorado Springs
nal,New York City
nal caliber,New York City
nan a talese doubleday,New York City
nation books,New York City
nelson,Toronto
new american library,New York City
norton,New York City
one world,London
orbit,London
oxmoor house,Birmingham
palgrave macmillan,London
pamela dorman,New York City
pamela dorman viking,New York City
pantheon,New York City
park row,New York City
penguin,London
penguin group,London
penguin group usa incorporated,New York City
penguin press,London
perseus books group,New York City
pocket books,New York City
pocket books karen hunter,New York City
portfolio,New York City
portfolio penguin,New York City
portfolio penguin group,New York City
post hill,New York City
princeton university,Princeton
publicaffairs,New York City
putnam,New York City
quirk books,Philadelphia
random house,New York City
reagan arthur little brown,Boston
regan arts,New York City
regnery,Washington
rey street morrow,New York City
riverhead,New York City
roc,New York City
rodale,Emmaus
saltriver tyndale house,Carol Stream
sarah crichton farrar straus and giroux,New York City
sarah crichton farrar straus giroux,New York City
scout,Omaha
scout press,New York City
scribner,New York City
sentinel,New York City
shadow mountain,Salt Lake City
shaye areheart,New York City
silver oak,New York City
simon schuster,New York City
simon spotlight,New York City
simon spotlight entertainment,New York City
sjp for hogarth,New York City
skyhorse,New York City
sourcebooks,Naperville
sourcebooks landmark,Naperville
south dakota historical society,Pierre
south dakota state historical society,Pierre
spiegel grau,New York City
st martin s,New York City
st martin s press,New York City
tarcher penguin,New York City
tarcherperigee,New York City
ten speed press,Berkeley
the dial press,New York City
thomas dunne,New York City
thomas dunne st martin s,New York City
thomas nelson,Nashville
threshold,New York City
threshold editions,New York City
threshold editions mercury radio arts,New York City
threshold mercury ink,New York City
threshold mercury radio arts,New York City
tim duggan,New York City
timber,Portland
times books holt,New York City
tin house,Portland
tom doherty forge,New York City
tor,New York City
tor tom doherty,New York City
tor tomdoherty,New York City
touchstone,New York City
touchstone simon schuster,New York City
turner publishing,Nashville
twelve,New York City
tyndale,Carol Stream
tyndale house,Carol Stream
tyndale momentum,Carol Stream
university of california,Berkeley
unknown publisher,NA
vanguard,New York City
viking,New York City
viking 24 95,New York City
voice,New York City
voice hyperion,New York City
w publishing thomas nelson,Nashville
waterbrook,Colorado Springs
weinstein,New York City
wiley,Hoboken
wiley casey research,Hoboken
william morrow,New York City
william morrow harpercollins,New York City
wizards of the coast,Renton
wnd,Washington
wnd books,Washington
workman,New York City
zondervan,Grand Rapids
